ts_utc,couples_online,total_online
2026-08-16T15:34:03+00:00,62,974
2026-08-16T15:54:20+00:00,63,990
2026-08-16T16:09:23+00:00,56,989
2026-08-16T16:38:06+00:00,63,972
2026-08-16T16:57:13+00:00,57,973
2026-08-16T17:13:00+00:00,61,985
2026-08-16T17:32:41+00:00,60,966
2026-08-16T17:52:42+00:00,65,979
2026-08-16T18:09:24+00:00,70,995
2026-08-16T18:43:52+00:00,74,1028
2026-08-16T19:01:42+00:00,79,1048
2026-08-16T19:30:28+00:00,81,1073
2026-08-16T19:51:03+00:00,83,1124
2026-08-16T20:07:22+00:00,80,1144
2026-08-16T20:34:52+00:00,90,1200
2026-08-16T20:54:53+00:00,91,1189
2026-08-16T21:08:07+00:00,86,1159
2026-08-16T21:31:54+00:00,90,1117
2026-08-16T21:53:12+00:00,81,1086
2026-08-16T22:07:04+00:00,81,1060
